USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
702070,26627,UNALAKLEET AIRPORT,US,AK,PAUN,63.883,-160.8,5.5,19430601,20201030
702070,99999,UNALAKLEET,US,AK,PAUN,63.883,-160.8,6,20000101,20031231
702075,26644,ANVIK AIRPORT,US,AK,PANV,62.65,-160.183,26.8,20060101,20201030
702075,99999,ANVIK,US,AK,PANV,62.65,-160.183,94,19950210,20051231
702084,26650,EMMONAK,US,AK,PAEM,62.785,-164.491,4.3,20060101,20201024
702084,99999,EMMONAK,US,AK,PAEM,62.783,-164.483,4,19440412,20051231
702091,99999,MOUNTAIN VILLAGE,US,AK,,62.083,-163.717,50,19441018,19450927
702120,26633,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,146,19530401,19991231
702120,26646,CAPE ROMANZOF LRRS ARPT,US,AK,PACZ,61.783,-166.033,146,20060101,20201030
702120,99999,CAPE ROMANZOFF AFS,US,AK,PACZ,61.783,-166.033,146,20000101,20051231
702185,26622,MEKORYUK AIRPORT,US,AK,PAMY,60.383,-166.2,13.7,20060105,20201030
702185,99999,MEKORYUK,US,AK,PAMY,60.367,-166.267,15,19831104,20051129
702186,26651,HOOPER BAY AIRPORT,US,AK,PAHP,61.524,-166.147,5.5,20060101,20201030
702186,99999,HOOPER BAY,US,AK,PAHP,61.517,-166.133,5,19841105,20051231
702190,26615,BETHEL AIRPORT,US,AK,PABE,60.785,-161.829,31.1,19450101,20201030
702195,99999,NAPAKIAK,US,AK,PANA,60.683,-161.983,5.2,19940830,20201029
702220,26501,GALENA AIRPORT,US,AK,PAGA,64.737,-156.934,46.6,20060101,20201030
702220,99999,GALENA A.,US,AK,PAGA,64.733,-156.933,49,19420917,20051231
702223,26602,KOYUK AIRPORT,US,AK,PAKK,64.935,-161.155,33.5,20060101,20201030
702223,99999,KOYUK AIRPORT,US,AK,PAKK,64.933,-161.167,37,19760503,20051231
702224,99999,EAGLE AIRPORT,US,AK,,64.783,-141.15,268,19810619,19950512
702225,99999,HUSLIA,US,AK,PAHS,65.7,-156.383,55,19940103,20050817
702310,26510,MCGRATH AIRPORT,US,AK,PAMC,62.957,-155.61,101.5,19730101,20201030
702312,26519,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,321,19970402,19991231
702312,26555,FAREWELL LAKE SEAPLANE BASE,US,AK,PAFK,62.543,-153.623,3207.7,20060101,20140419
702312,99999,FAREWELL LAKE,US,AK,PAFK,62.54,-153.617,321,20000101,20051231
702315,26536,TATALINA LRRS AIRPORT,US,AK,PATL,62.894,-155.976,293.8,20060101,20201030
702315,99999,TATALINA LRRS,US,AK,PATL,62.883,-155.967,294,19520401,20051231
702320,26516,ANIAK AIRPORT,US,AK,PANI,61.582,-159.543,25.9,19730101,20201030
702320,99999,ANIAK,US,AK,PANI,61.583,-159.533,26,20000101,20031231
702325,26443,WASILLA AIRPORT,US,AK,PAWS,61.572,-149.541,107.9,20040702,20201030
702325,99999,WASILLA,US,AK,PAWS,61.572,-149.54,108,19980226,20041231
702350,26534,SPARREVOHN LRRS AIRPORT,US,AK,PASV,61.1,-155.583,484,20060101,20201030
702350,99999,SPARREVOHN AFS,US,AK,PASV,61.1,-155.567,484,19510711,20051231
702460,26512,MINCHUMINA,US,AK,PAMH,63.886,-152.302,206.7,19730101,20201030
702460,99999,MINCHUMINA,US,AK,PAMH,63.9,-152.267,214,20000101,20041230
702483,99999,FAREWELL LAKE,US,AK,PAFW,62.533,-153.617,323,19850130,19960425
702490,26526,PUNTILLA LAKE,US,AK,PAPT,62.091,-152.735,566.3,20060101,20201029
702490,99999,PUNTILLA,US,AK,PAPT,62.1,-152.75,560,19730101,20051231
702495,26547,HAYES RIVER AIRPORT,US,AK,PAHZ,61.983,-152.083,305.1,20060101,20110127
702495,99999,HAYES RIVER AIRPORT,US,AK,PAHZ,61.98,-152.08,305,19730101,20051231
702510,26528,TALKEETNA AIRPORT,US,AK,PATK,62.32,-150.095,106.7,19730101,20201030
702520,99999,TALKEETNA  AK,US,AK,,62.3,-150.417,151,20050213,20050213
702550,26514,SKWENTNA AIRPORT,US,AK,PASW,61.977,-151.217,45.7,19730101,20161001
702550,99999,SKWENTNA,US,AK,PASW,61.967,-151.183,45,20000101,20041231
702590,26523,KENAI MUNICIPAL AIRPORT,US,AK,PAEN,60.58,-151.239,27.7,19730101,20201030
702595,26559,SOLDOTNA AIRPORT,US,AK,PASX,60.476,-151.034,34.4,20060101,20201030
702595,99999,SOLDOTNA,US,AK,PASX,60.467,-151.033,34,19830502,20051231
702600,26435,NENANA MUNICIPAL AIRPORT,US,AK,PANN,64.55,-149.072,109.7,19430706,20201030
702600,99999,NENANA/MUN.,US,AK,PANN,64.55,-149.083,110,20000101,20031231
702605,99999,CLEAR,US,AK,PACL,64.301,-149.12,168.2,19471010,19471130
702606,96401,CHULITNA,US,AK,PAEC,62.826,-149.907,426.7,20060101,20201030
702606,99999,CHULITNA AIRPORT,US,AK,PAEC,62.883,-149.833,381,19781130,20051231
702607,25378,HOONAH SEAPLANE BASE,US,AK,PAOH,58.096,-135.409,0,20060101,20201027
702607,99999,HOONAH SEAPLANE BASE,US,AK,PAOH,58.12,-135.417,6,19781124,20051231
702610,26411,FAIRBANKS INTERNATIONAL,US,AK,PAFA,64.804,-147.876,131.7,19460101,20201030
702615,26498,WAINWRIGHT AAF AIRPORT,US,AK,PAFB,64.838,-147.614,138.4,20060103,20201030
